CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031102460685007HA0F;13/01/2025;12;0,03;;;R
ES0031102460685007HA0F;13/01/2025;13;0,033;;;R
ES0031102460685007HA0F;13/01/2025;14;0,176;;;R
ES0031102460685007HA0F;13/01/2025;15;0,626;;;R
ES0031102460685007HA0F;13/01/2025;16;0,529;;;R
ES0031102460685007HA0F;13/01/2025;17;0,477;;;R
ES0031102460685007HA0F;13/01/2025;18;0,261;;;R
ES0031102460685007HA0F;13/01/2025;19;0,169;;;R
ES0031102460685007HA0F;13/01/2025;20;0,157;;;R
ES0031102460685007HA0F;13/01/2025;21;0,157;;;R
ES0031102460685007HA0F;13/01/2025;22;0,102;;;R
ES0031102460685007HA0F;13/01/2025;23;0,369;;;R
ES0031102460685007HA0F;13/01/2025;24;0,115;;;R
ES0031102460685007HA0F;14/01/2025;1;0,026;;;R
ES0031102460685007HA0F;14/01/2025;2;0,031;;;R
ES0031102460685007HA0F;14/01/2025;3;0,025;;;R
ES0031102460685007HA0F;14/01/2025;4;0,032;;;R
ES0031102460685007HA0F;14/01/2025;5;0,024;;;R
ES0031102460685007HA0F;14/01/2025;6;0,034;;;R
ES0031102460685007HA0F;14/01/2025;7;0,022;;;R
ES0031102460685007HA0F;14/01/2025;8;0,07;;;R
ES0031102460685007HA0F;14/01/2025;9;0,098;;;R
ES0031102460685007HA0F;14/01/2025;10;0,052;;;R
ES0031102460685007HA0F;14/01/2025;11;0,112;;;R
ES0031102460685007HA0F;14/01/2025;12;0,032;;;R
ES0031102460685007HA0F;14/01/2025;13;0,025;;;R
ES0031102460685007HA0F;14/01/2025;14;0,207;;;R
ES0031102460685007HA0F;14/01/2025;15;0,194;;;R
ES0031102460685007HA0F;14/01/2025;16;1,056;;;R
ES0031102460685007HA0F;14/01/2025;17;0,372;;;R
ES0031102460685007HA0F;14/01/2025;18;0,135;;;R
ES0031102460685007HA0F;14/01/2025;19;0,145;;;R
ES0031102460685007HA0F;14/01/2025;20;0,231;;;R
ES0031102460685007HA0F;14/01/2025;21;0,152;;;R
ES0031102460685007HA0F;14/01/2025;22;0,088;;;R
ES0031102460685007HA0F;14/01/2025;23;0,147;;;R
ES0031102460685007HA0F;14/01/2025;24;0,176;;;R
ES0031102460685007HA0F;15/01/2025;1;0,025;;;R
ES0031102460685007HA0F;15/01/2025;2;0,031;;;R
ES0031102460685007HA0F;15/01/2025;3;0,063;;;R
ES0031102460685007HA0F;15/01/2025;4;0,071;;;R
ES0031102460685007HA0F;15/01/2025;5;0,026;;;R
ES0031102460685007HA0F;15/01/2025;6;0,027;;;R
ES0031102460685007HA0F;15/01/2025;7;0,031;;;R
ES0031102460685007HA0F;15/01/2025;8;0,214;;;R
ES0031102460685007HA0F;15/01/2025;9;0,124;;;R
ES0031102460685007HA0F;15/01/2025;10;0,081;;;R
ES0031102460685007HA0F;15/01/2025;11;0,089;;;R
ES0031102460685007HA0F;15/01/2025;12;0,351;;;R
ES0031102460685007HA0F;15/01/2025;13;0,538;;;R
ES0031102460685007HA0F;15/01/2025;14;0,331;;;R
ES0031102460685007HA0F;15/01/2025;15;0,389;;;R
ES0031102460685007HA0F;15/01/2025;16;1,122;;;R
ES0031102460685007HA0F;15/01/2025;17;0,166;;;R
ES0031102460685007HA0F;15/01/2025;18;0,077;;;R
ES0031102460685007HA0F;15/01/2025;19;0,297;;;R
ES0031102460685007HA0F;15/01/2025;20;0,173;;;R
ES0031102460685007HA0F;15/01/2025;21;0,112;;;R
ES0031102460685007HA0F;15/01/2025;22;0,395;;;R
ES0031102460685007HA0F;15/01/2025;23;0,533;;;R
ES0031102460685007HA0F;15/01/2025;24;0,197;;;R
ES0031102460685007HA0F;16/01/2025;1;0,023;;;R
ES0031102460685007HA0F;16/01/2025;2;0,031;;;R
ES0031102460685007HA0F;16/01/2025;3;0,029;;;R
ES0031102460685007HA0F;16/01/2025;4;0,027;;;R
ES0031102460685007HA0F;16/01/2025;5;0,025;;;R
ES0031102460685007HA0F;16/01/2025;6;0,026;;;R
ES0031102460685007HA0F;16/01/2025;7;0,025;;;R
ES0031102460685007HA0F;16/01/2025;8;0,232;;;R
ES0031102460685007HA0F;16/01/2025;9;0,181;;;R
ES0031102460685007HA0F;16/01/2025;10;0,03;;;R
ES0031102460685007HA0F;16/01/2025;11;0,192;;;R
ES0031102460685007HA0F;16/01/2025;12;0,777;;;R
ES0031102460685007HA0F;16/01/2025;13;0,065;;;R
ES0031102460685007HA0F;16/01/2025;14;0,291;;;R
ES0031102460685007HA0F;16/01/2025;15;0,374;;;R
ES0031102460685007HA0F;16/01/2025;16;0,418;;;R
ES0031102460685007HA0F;16/01/2025;17;0,187;;;R
ES0031102460685007HA0F;16/01/2025;18;0,774;;;R
ES0031102460685007HA0F;16/01/2025;19;0,191;;;R
ES0031102460685007HA0F;16/01/2025;20;0,153;;;R
ES0031102460685007HA0F;16/01/2025;21;0,481;;;R
ES0031102460685007HA0F;16/01/2025;22;0,555;;;R
ES0031102460685007HA0F;16/01/2025;23;0,609;;;R
ES0031102460685007HA0F;16/01/2025;24;0,408;;;R
ES0031102460685007HA0F;17/01/2025;1;0,107;;;R
ES0031102460685007HA0F;17/01/2025;2;0,032;;;R
ES0031102460685007HA0F;17/01/2025;3;0,03;;;R
ES0031102460685007HA0F;17/01/2025;4;0,026;;;R
ES0031102460685007HA0F;17/01/2025;5;0,025;;;R
ES0031102460685007HA0F;17/01/2025;6;0,029;;;R
ES0031102460685007HA0F;17/01/2025;7;0,029;;;R
ES0031102460685007HA0F;17/01/2025;8;0,073;;;R
ES0031102460685007HA0F;17/01/2025;9;0,119;;;R
ES0031102460685007HA0F;17/01/2025;10;0,119;;;R
ES0031102460685007HA0F;17/01/2025;11;0,036;;;R
ES0031102460685007HA0F;17/01/2025;12;0,247;;;R
ES0031102460685007HA0F;17/01/2025;13;0,762;;;R
ES0031102460685007HA0F;17/01/2025;14;0,23;;;R
ES0031102460685007HA0F;17/01/2025;15;0,302;;;R
ES0031102460685007HA0F;17/01/2025;16;0,11;;;R
ES0031102460685007HA0F;17/01/2025;17;0,095;;;R
ES0031102460685007HA0F;17/01/2025;18;0,063;;;R
ES0031102460685007HA0F;17/01/2025;19;0,185;;;R
ES0031102460685007HA0F;17/01/2025;20;0,664;;;R
ES0031102460685007HA0F;17/01/2025;21;0,381;;;R
ES0031102460685007HA0F;17/01/2025;22;0,144;;;R
ES0031102460685007HA0F;17/01/2025;23;0,531;;;R
ES0031102460685007HA0F;17/01/2025;24;0,911;;;R
ES0031102460685007HA0F;18/01/2025;1;0,481;;;R
ES0031102460685007HA0F;18/01/2025;2;1,087;;;R
ES0031102460685007HA0F;18/01/2025;3;1,149;;;R
ES0031102460685007HA0F;18/01/2025;4;1,208;;;R
ES0031102460685007HA0F;18/01/2025;5;1,005;;;R
ES0031102460685007HA0F;18/01/2025;6;0,538;;;R
ES0031102460685007HA0F;18/01/2025;7;0,574;;;R
ES0031102460685007HA0F;18/01/2025;8;0,537;;;R
ES0031102460685007HA0F;18/01/2025;9;0,257;;;R
ES0031102460685007HA0F;18/01/2025;10;0,033;;;R
ES0031102460685007HA0F;18/01/2025;11;0,453;;;R
ES0031102460685007HA0F;18/01/2025;12;0,552;;;R
