CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031102460685007HA0F;12/03/2023;22;0,469;;;R
ES0031102460685007HA0F;12/03/2023;23;0,163;;;R
ES0031102460685007HA0F;12/03/2023;24;0,248;;;R
ES0031102460685007HA0F;13/03/2023;1;0,68;;;R
ES0031102460685007HA0F;13/03/2023;2;0,677;;;R
ES0031102460685007HA0F;13/03/2023;3;0,097;;;R
ES0031102460685007HA0F;13/03/2023;4;0,096;;;R
ES0031102460685007HA0F;13/03/2023;5;0,051;;;R
ES0031102460685007HA0F;13/03/2023;6;0,037;;;R
ES0031102460685007HA0F;13/03/2023;7;0,033;;;R
ES0031102460685007HA0F;13/03/2023;8;0,091;;;R
ES0031102460685007HA0F;13/03/2023;9;0,049;;;R
ES0031102460685007HA0F;13/03/2023;10;0,276;;;R
ES0031102460685007HA0F;13/03/2023;11;0,208;;;R
ES0031102460685007HA0F;13/03/2023;12;0,036;;;R
ES0031102460685007HA0F;13/03/2023;13;0,139;;;R
ES0031102460685007HA0F;13/03/2023;14;0,955;;;R
ES0031102460685007HA0F;13/03/2023;15;0,128;;;R
ES0031102460685007HA0F;13/03/2023;16;0,185;;;R
ES0031102460685007HA0F;13/03/2023;17;0,192;;;R
ES0031102460685007HA0F;13/03/2023;18;0,132;;;R
ES0031102460685007HA0F;13/03/2023;19;0,205;;;R
ES0031102460685007HA0F;13/03/2023;20;0,154;;;R
ES0031102460685007HA0F;13/03/2023;21;0,055;;;R
ES0031102460685007HA0F;13/03/2023;22;0,146;;;R
ES0031102460685007HA0F;13/03/2023;23;0,061;;;R
ES0031102460685007HA0F;13/03/2023;24;0,126;;;R
ES0031102460685007HA0F;14/03/2023;1;0,09;;;R
ES0031102460685007HA0F;14/03/2023;2;0,033;;;R
ES0031102460685007HA0F;14/03/2023;3;0,033;;;R
ES0031102460685007HA0F;14/03/2023;4;0,032;;;R
ES0031102460685007HA0F;14/03/2023;5;0,031;;;R
ES0031102460685007HA0F;14/03/2023;6;0,033;;;R
ES0031102460685007HA0F;14/03/2023;7;0,034;;;R
ES0031102460685007HA0F;14/03/2023;8;0,168;;;R
ES0031102460685007HA0F;14/03/2023;9;0,049;;;R
ES0031102460685007HA0F;14/03/2023;10;0,04;;;R
ES0031102460685007HA0F;14/03/2023;11;0,338;;;R
ES0031102460685007HA0F;14/03/2023;12;0,888;;;R
ES0031102460685007HA0F;14/03/2023;13;0,033;;;R
ES0031102460685007HA0F;14/03/2023;14;0,111;;;R
ES0031102460685007HA0F;14/03/2023;15;0,39;;;R
ES0031102460685007HA0F;14/03/2023;16;0,235;;;R
ES0031102460685007HA0F;14/03/2023;17;0,357;;;R
ES0031102460685007HA0F;14/03/2023;18;0,101;;;R
ES0031102460685007HA0F;14/03/2023;19;0,134;;;R
ES0031102460685007HA0F;14/03/2023;20;0,208;;;R
ES0031102460685007HA0F;14/03/2023;21;0,157;;;R
ES0031102460685007HA0F;14/03/2023;22;0,12;;;R
ES0031102460685007HA0F;14/03/2023;23;0,172;;;R
ES0031102460685007HA0F;14/03/2023;24;0,091;;;R
ES0031102460685007HA0F;15/03/2023;1;0,036;;;R
ES0031102460685007HA0F;15/03/2023;2;0,034;;;R
ES0031102460685007HA0F;15/03/2023;3;0,033;;;R
ES0031102460685007HA0F;15/03/2023;4;0,033;;;R
ES0031102460685007HA0F;15/03/2023;5;0,034;;;R
ES0031102460685007HA0F;15/03/2023;6;0,035;;;R
ES0031102460685007HA0F;15/03/2023;7;0,035;;;R
ES0031102460685007HA0F;15/03/2023;8;0,111;;;R
ES0031102460685007HA0F;15/03/2023;9;0,094;;;R
ES0031102460685007HA0F;15/03/2023;10;0,036;;;R
ES0031102460685007HA0F;15/03/2023;11;0,11;;;R
ES0031102460685007HA0F;15/03/2023;12;0,052;;;R
ES0031102460685007HA0F;15/03/2023;13;0,038;;;R
ES0031102460685007HA0F;15/03/2023;14;0,711;;;R
ES0031102460685007HA0F;15/03/2023;15;0,403;;;R
ES0031102460685007HA0F;15/03/2023;16;0,169;;;R
ES0031102460685007HA0F;15/03/2023;17;0,197;;;R
ES0031102460685007HA0F;15/03/2023;18;0,103;;;R
ES0031102460685007HA0F;15/03/2023;19;0,273;;;R
ES0031102460685007HA0F;15/03/2023;20;0,129;;;R
ES0031102460685007HA0F;15/03/2023;21;0,158;;;R
ES0031102460685007HA0F;15/03/2023;22;0,2;;;R
ES0031102460685007HA0F;15/03/2023;23;0,044;;;R
ES0031102460685007HA0F;15/03/2023;24;0,104;;;R
ES0031102460685007HA0F;16/03/2023;1;0,034;;;R
ES0031102460685007HA0F;16/03/2023;2;0,033;;;R
ES0031102460685007HA0F;16/03/2023;3;0,032;;;R
ES0031102460685007HA0F;16/03/2023;4;0,095;;;R
ES0031102460685007HA0F;16/03/2023;5;0,046;;;R
ES0031102460685007HA0F;16/03/2023;6;0,034;;;R
ES0031102460685007HA0F;16/03/2023;7;0,033;;;R
ES0031102460685007HA0F;16/03/2023;8;0,114;;;R
ES0031102460685007HA0F;16/03/2023;9;0,033;;;R
ES0031102460685007HA0F;16/03/2023;10;0,031;;;R
ES0031102460685007HA0F;16/03/2023;11;0,117;;;R
ES0031102460685007HA0F;16/03/2023;12;0,033;;;R
ES0031102460685007HA0F;16/03/2023;13;0,034;;;R
ES0031102460685007HA0F;16/03/2023;14;0,919;;;R
ES0031102460685007HA0F;16/03/2023;15;0,158;;;R
ES0031102460685007HA0F;16/03/2023;16;0,119;;;R
ES0031102460685007HA0F;16/03/2023;17;0,089;;;R
ES0031102460685007HA0F;16/03/2023;18;0,132;;;R
ES0031102460685007HA0F;16/03/2023;19;0,178;;;R
